Relic Name,#,Notes
Blight Candle,Unlimited,"**__Blight Candle__**

**Description:** The Blight Candle is a unique artifact with the remarkable ability to sense and repel blight. Crafted with ancient techniques and infused with mystical properties, it emits a faint but discernible aura that reacts to the presence of blight. The candle's wax holds a subtle luminescence, flickering with an otherworldly glow when danger approaches.

**Functionality:** When within proximity of blight-infested areas or malevolent entities, the Blight Candle's flame intensifies, warning the bearer of impending danger. Its presence serves as a beacon of protection, warding off blight and providing a sense of security in otherwise perilous environments. It is believed that the candle draws upon ancient blessings or protective enchantments to fulfill its purpose.

**Origin:** The origins of the Blight Candle are shrouded in mystery, with some tales attributing its creation to ancient guardians or prophetic seers who sought to combat the spread of blight. Legends suggest that it was forged during a time of great turmoil, crafted by skilled artisans who imbued it with the essence of purity to counteract the darkness of blight.

**Uses:** The primary use of the Blight Candle lies in its ability to detect and repel blight. Adventurers and guardians utilize the candle as a proactive measure against the spread of darkness, carrying it with them as they traverse blight-infested territories. When the candle's flame intensifies in the presence of blight, it serves as an early warning system, allowing the bearer to take necessary precautions or alter their course to avoid danger. Once the candle burns out it loses its abilities.
"
Blight Knight - Chest Plate,Unlimited,"**__Blight Knight - Chest Plate__**

The Blight Knight Chest Plate, forged to combat darkness, is a cursed relic adorned with ominous runes. Offering formidable protection, it ensnares wearers in a thirst for battle and vengeance, their souls consumed by the Blight's corruption.
"
Blight Knight - Faulds,Unlimited,"**__Blight Knight - Faulds__**

The Blight Knight Faulds, a vital piece of the infamous Blight Knight armor set, is tainted by the very darkness it seeks to combat. Crafted with ancient symbols and overlapping plates, it exudes an aura of corruption, betraying its sinister origins.
"
Blight Knight - Helmet,Unlimited,"**__Blight Knight - Helmet__**

The Blight Knight Helmet, forged in the crucible of ancient strife, is both a symbol of protection and a conduit for corruption. Its sinister design offers formidable defense, yet those who don it find themselves drawn into a cycle of violence, their minds clouded by the darkness it harbors. Despite its malevolent influence, the allure of its po
"
Blight Knight - Left Arm,Unlimited,"**__Blight Knight - Left Arm__**

The Blight Knight Left Arm, a relic shrouded in ancient darkness, serves as a grim reminder of a bygone era of strife. Crafted with sinister intent, this corrupted limb offers unparalleled strength and resilience, but at a dire cost. Those who don it find themselves consumed by the Blight's malevolence, their actions guided by its twisted will.
"
Blight Knight - Left Leg,Unlimited,"**__Blight Knight - Left Leg__**

The Blight Knight Left Leg, a relic veiled in ancient shadows, is a haunting testament to a time of great turmoil. Fashioned with malevolent purpose, this corrupted limb grants unmatched agility and endurance, yet at a profound price. Those who wear it are ensnared by the Blight's dark influence, their movements driven by its sinister will. Despite the dangers, its allure persists for those willing to embrace the darkness it embodies.
"
Blight Knight - Right Arm,Unlimited,"**__Blight Knight - Right Arm__**

The Blight Knight Right Arm, a dread artifact from a forgotten era, embodies the essence of ancient darkness. Crafted with sinister intent, this corrupted limb bestows unparalleled strength and prowess upon its wearer, but at a perilous cost. Those who don it are inexorably drawn into the Blight's grasp, their actions manipulated by its malevolent influence.
"
Blight Knight - Right Leg,Unlimited,"**__Blight Knight - Right Leg__**

The Blight Knight Right Leg, a relic steeped in ancient malevolence, stands as a grim testament to an era of darkness. Molded with sinister intent, this corrupted limb grants unmatched speed and resilience to its bearer, albeit with a sinister twist. Those who dare to don it find themselves ensnared by the Blight's influence, their movements dictated by its ominous will. Despite the inherent peril, its allure persists for those brave enough to court the shadows it embodies.
"
Blighted Dragon Parts,Unlimited,"**__Blighted Dragon Parts__**

**Description:** Blighted Dragon parts, characterized by their ominous, blight-infused hues, are mysterious remnants of an unknown origin within the realm of Hyrule. These artifacts, ranging from scales to talons, emanate an unsettling aura, hinting at their connection to dark forces lurking within the land.

**Functionality:** Despite their unsettling appearance, the functionality of Blighted Dragon parts remains largely unknown. While some speculate that they may possess mystical properties or latent powers, their true purpose eludes even the most seasoned adventurers. Some whisper of a curse attached to these artifacts, warning against their use or possession.

**Origins:** The origins of Blighted Dragon parts are veiled in secrecy, with no definitive source known to scholars or historians. Legends speak of a mythical creature, the Blighted Dragon, rumored to wander the shadowed realms of Hyrule. It is conjectured that these parts may be remnants of this elusive beast, shed as it traverses the dark corners of the land. However, without concrete evidence, their true genesis remains a subject of speculation and myth.

**Uses:** Despite the mystery surrounding their origins, Blighted Dragon parts are often subjects of arcane research and study by scholars and mystics. Their ominous hues and unsettling aura suggest a connection to dark forces within Hyrule, sparking curiosity about their potential properties and significance. Researchers seek to unlock the secrets hidden within these artifacts, delving into ancient texts and conducting experiments to uncover their true nature and purpose.
"
Book Of Mudora,1,"**__Book Of Mudora__**

**Description:** The Book of Mudora is an ancient tome of unparalleled knowledge, shrouded in mystery and revered by scholars throughout the ages. Bound in weathered leather and adorned with intricate sigils, its pages whisper secrets of forgotten lore to those who dare to unlock its mysteries.

**Functionality:** Unlocking the wisdom contained within the Book of Mudora requires more than mere literacy—it demands the aid of translation scrolls. These scrolls, infused with ancient magic, are essential tools for deciphering the cryptic language that fills the tome's pages. Once translated, the knowledge within ranges from lost histories and arcane rituals to enigmatic prophecies, offering insights into realms both mundane and mystical.

**Origins:** The origins of the Book of Mudora are shrouded in myth and legend, with tales attributing its creation to sages of a bygone era. Some say it was crafted by the hands of divine beings, while others claim it was gifted to mortals by benevolent spirits. Regardless of its origins, the tome has endured throughout the ages, passing from one generation to the next as a beacon of wisdom and enlightenment.

**Uses:** Within its pages lie spells, rituals, and incantations of great power, allowing those who study its contents to delve into the mysteries of magic and the arcane arts. Reading this tome unlocks the mystery to magic in the realm of Hyrule.
"
Lense Of Truth,Unlimited,"**__Lens Of Truth__**

**Description:** The Lens of Truth is a mystical artifact of unparalleled clarity, crafted with precision and imbued with ancient magic. Encased in a delicate frame adorned with intricate patterns, its crystalline lens sparkles with an otherworldly radiance, hinting at the secrets it holds.

**Functionality:** Functioning as a window into the unseen, the Lens of Truth bestows upon its wielder the ability to peer beyond illusions and deceptions. By gazing through its lens, one can unveil hidden passages, reveal concealed traps, and discern truths obscured by the veil of deception. Its powers extend even to the ethereal realm, allowing exploration beyond the boundaries of the tangible world.

**Origins:** The origins of the Lens of Truth are veiled in mystery, with whispers of its creation echoing through the annals of time. Some believe it to be a gift from ancient spirits, bestowed upon mortals to navigate the treacherous paths of the unknown. Others claim it was forged by master craftsmen using rare and mystical materials, harnessing the essence of the arcane to bring it to life.

**Uses:** The Lens of Truth offers a swift solution in navigating a Grottos. By revealing hidden pathways and dispelling illusions, it streamlines the journey, leaving only the final boss battle as the remaining challenge to face.
"
Moon Pearl,1,"**__Moon Pearl__**

**Description:** The Moon Pearl is a radiant orb of celestial essence, shimmering with an ethereal glow reminiscent of the moon's gentle light. Encased in a lustrous shell, it exudes an aura of tranquility and resilience against the encroaching darkness.

**Functionality:** Holding the Moon Pearl grants its bearer immunity against the corrupting influence of the blight. As long as one possesses the pearl, they are shielded from the malevolent forces that seek to consume and corrupt. Its power acts as a ward, repelling the blight's tendrils and safeguarding the bearer from its insidious grasp.

**Origins:** The origins of the Moon Pearl are steeped in celestial mystery, with legends attributing its creation to the luminous energies of the heavens. Some believe it to be a gift from celestial beings, bestowed upon mortals as a beacon of hope in times of darkness. Others speculate that it was forged from the essence of the moon itself, imbued with its divine radiance to serve as a safeguard against the blight's encroachment.

**Uses:** The primary and most significant use of the Moon Pearl is its ability to protect its bearer from the corrupting influence of the blight. Those who possess the pearl are shielded from the malevolent forces that seek to consume and corrupt.
"
Old Key,Unlimited,"**__Old Key__**

**Description:** The Old Key, weathered by the passage of time, holds within its rusted grooves the promise of unlocking mysteries long forgotten. Crafted from sturdy metal and adorned with intricate engravings, it bears the weight of ages past and the secrets yet to be revealed.

**Functionality:** As a relic of unlocking, the Old Key possesses the power to open long-sealed doors and hidden chests, granting access to treasures and knowledge concealed from the world. Its touch awakens dormant mechanisms and releases the bonds of time, allowing its bearer to explore realms once thought lost.

**Origins:** The origins of the Old Key are veiled in the mists of antiquity, its true creator lost to the annals of history. Some whisper of skilled craftsmen of ancient civilizations, while others believe it to be the work of mystical artisans imbued with the wisdom of the ages. Regardless of its origin, the key has endured the passage of time as a testament to the ingenuity of its makers.

**Uses:** Currently no known uses, but scholars deemed this item worth keeping and collecting incase of future uses.
"
Poe's Lantern,Unlimited,"**__Poe's Lantern__**

**Description:** Poe's Lantern, a mysterious artifact originating from the depths of Hyrule's blight-filled crypts, exudes an otherworldly radiance that defies the darkness surrounding it. Its spectral flame flickers with an eerie glow, casting haunting shadows that dance across the walls of the crypts where it was discovered.

**Functionality:** In the shadowy depths of Hyrule's blight-filled crypts, Poe's Lantern emerges as an indispensable tool for intrepid adventurers. Crafted within the heart of darkness, its ethereal light pierces through the gloom, revealing hidden passages and warding off malevolent spirits that lurk within the ancient ruins. With its ghostly glow guiding their way, explorers unlock the mysteries concealed within Hyrule's shadowy crypts, braving the darkness to uncover long-forgotten secrets and lost treasures.

**Origins:** The origins of Poe's Lantern trace back to the ancient lands of Hyrule, where it was crafted by unknown hands in ages long past. Legends speak of its creation amidst the turmoil of Hyrule's darkest hours, infused with the essence of the blight that pervades the crypts where it was unearthed. Though its creators remain shrouded in mystery, the lantern's presence serves as a reminder of Hyrule's enduring legacy and the secrets that lie buried within its depths.

**Uses:** Armed with the insights gleaned from Poe's Lantern, adventurers have the opportunity to make informed decisions and course corrections within the grottos. By harnessing the lantern's mystical power, travelers can undo decisions they regret or explore new avenues that were previously overlooked.
"
Power Bracelet,1,"**__Power Bracelet__**

**Description:** The Power Bracelet, a relic of formidable might, bears the legacy of a previous oracle of power within its ancient design. Crafted with intricate runes and imbued with mystical energy, it radiates an aura of strength and authority, symbolizing the potent abilities it bestows upon its bearer.

**Functionality:** Forged by the skilled hands of Goron blacksmiths, the Power Bracelet harnesses the raw strength and resilience of the earth itself. Previously owned by an oracle of power, it channels mystical energies that enhance the wearer's physical prowess and fortitude.

**Origins:** Born from the fires of Goron forges in an age long past, the Power Bracelet is steeped in the rich tradition of the Goron people. Crafted by skilled artisans under the guidance of their tribal elders, it is said to have been infused with the essence of the earth, granting it unparalleled strength and durability. Passed down through generations, it carries the wisdom and strength of its previous owners, serving as a beacon of hope and inspiration to those who seek to wield its formidable might.

**Uses:** As a relic once owned by an oracle of power, the Power Bracelet carries a legacy of strength and authority. It hints at an untold story from Oracles past.
"
Shard of Agony,Unlimited,"**__Shard of Agony__**

**Description:** The Shard of Agony, a curious artifact shrouded in mystery, appears as a translucent crystal fragment pulsating with an ominous energy. Its jagged edges seem to whisper secrets of forgotten realms, while its eerie glow casts an unsettling aura in its vicinity, hinting at the hidden truths it holds within.

**Functionality:** Despite its diminutive size, the Shard of Agony possesses a remarkable ability to detect hidden secrets and concealed passages within its vicinity. When activated, it emits faint vibrations and emits a faint hum, guiding its bearer towards points of interest that elude the naked eye. Whether uncovering hidden chambers in ancient ruins or revealing obscured paths in dense forests, the Shard of Agony serves as a valuable tool for intrepid adventurers seeking to unravel the mysteries of the world.

**Origins:** Legends speak of the Shard of Agony as a fragment of a greater whole, shattered eons ago during a cataclysmic event that reshaped the fabric of reality. Said to be born from the anguish of lost souls and the echoes of forgotten memories, its origins remain steeped in myth and legend. Some believe it to be a remnant of a fallen deity's power, while others attribute its creation to ancient sorcery beyond mortal comprehension. Regardless of its true origins, the Shard of Agony holds a unique significance in the annals of history, its presence serving as a constant reminder of the enigmatic forces that shape the world.

**Uses:** The primary function of the Shard of Agony is to detect hidden secrets and concealed passages within its vicinity. When activated, it emits faint vibrations and emits a soft hum, guiding its bearer towards points of interest that elude normal perception.
"
Talisman,Unlimited,"**__Talisman__**

**Description:** The Talisman is a potent artifact associated with an ancient and enigmatic clan that once held ties to the Sheikah. Crafted with dark magic and imbued with sinister intentions, these talismans hold significant power within the realm of Hyrule, serving as symbols of the clan's influence and malevolent ambitions.

**Functionality:** These talismans primarily mark individuals as allies or agents of the ancient and secretive clan, granting them access to hidden sanctuaries, secret passages, and forbidden knowledge. Possession of a Talisman confers certain privileges and protections upon its bearer, including the ability to communicate with fellow members of the clan and to invoke dark powers in service to their cause.

**Origins:** The origins of the Talisman can be traced back to the formation of the ancient clan itself, which once had ties with the Sheikah tribe but diverged in pursuit of darker pursuits and forbidden arts. Crafted by skilled sorcerers and dark adepts, these talismans are infused with the essence of shadow and corruption.

**Uses:** Currently, it seems these talismans no longer hold any active power. They are under study for further information regarding their significance and potential latent abilities.
"
Tattered Diary,TBD,"**__Tattered Diary__**

**Description:** The Tattered Diary Entries, a collection of weathered journals discovered scattered across the outskirts of Hyrule, bear witness to a mysterious life shrouded in enigma. Each diary, bound in worn leather and adorned with Hylian script, offers glimpses into the experiences and musings of an unnamed author, their words resonating with a sense of solitude and mystique.

**Functionality:** Written in modern Hylian script, the Tattered Diaries provide intriguing insights into the life of their unknown author. Amidst the pages, fragmented accounts of encounters with a clandestine clan and the author's purported role as a deity among them emerge, hinting at a complex and secretive existence. These diaries serve as cryptic chronicles, inviting speculation and curiosity about the identity and intentions of their enigmatic writer.

**Origins:** The origins of the Tattered Diaries remain a mystery, their scattered presence outside the main villages of Hyrule fueling speculation about their elusive author. Some speculate that they were penned by a wanderer traversing the remote corners of the land, while others entertain the notion of a reclusive figure dwelling among the shadows, documenting their experiences in solitude. Regardless of their origins, the diaries evoke an aura of intrigue and fascination, drawing the attention of those who seek to unravel their secrets.

**Uses:** The introspective nature of the Tattered Diary Entries invites readers to delve into the psyche of their unnamed author, exploring themes of solitude, identity, and existential contemplation. Psychologists and literary scholars analyze the author's musings and reflections, seeking to uncover the motivations and inner turmoil that shape their experiences and worldview. It also leads scholars to wonder who the owner of these entries is, as they speak of experiences not within the known three villages.
"
The Moon's Tear,TBD,"**__The Moon's Tear__**

**Description:** The Moon's Tear, a celestial artifact revered by the Twili, shimmers with an ethereal glow reminiscent of the twilight skies of their Realm of Twilight. Encased within a lustrous shell, it exudes an aura of tranquility and resilience against the encroaching darkness, serving as a symbol of hope amidst the shadows.

**Functionality:** Acting as a beacon of protection, the tear grants its bearer immunity against the harsh influence of the sun, shielding them from its damaging rays. Additionally, it possesses the unique ability to heal Twili from sunsickness, restoring vitality and strength.

**Origins:** Crafted in the twilight crucible of the Realm of Twilight, the Moon's Tear is believed to be a gift from celestial beings, bestowed upon mortals as a symbol of divine protection and guidance in the face of encroaching darkness.

**Uses:** The primary function of the Moon's Tear is to grant its bearer immunity against the harsh influence of the sun. Twili, who are particularly sensitive to sunlight due to their origins in the Realm of Twilight, rely on the tear to shield them from the sun's damaging rays.
"
The Tainted Idol,Unlimited,"**__The Tainted Idol__**

**Description:** The Tainted Idol, a relic steeped in darkness and despair, emanates an aura of malevolence that chills the very air around it. Carved from obsidian and adorned with sinister glyphs, its surface is marred by cracks that seem to pulse with a sickly energy. Despite its unsettling appearance, there is an undeniable allure to the idol, drawing the curious and the reckless alike into its grasp.

**Functionality:** The Tainted Idol harbors a corrupting influence, twisting the minds of those who come into contact with it and ensnaring their souls in its dark embrace. Once wielded by a mysterious person who could control blight, its power extends beyond the physical realm, manifesting as whispered promises of forbidden knowledge and untold riches. However, those who succumb to its allure often find themselves consumed by madness, their sanity shattered by the insidious whispers that echo from its depths.

**Origins:** Legends tell of a time when the Tainted Idol was crafted by hands tainted by darkness, its creation born from the depths of despair and anguish. Forged in the crucible of despair, it became a vessel for darkest desires and most twisted ambitions.

**Uses:** The primary function of the Tainted Idol is to exert a corrupting influence upon those who come into contact with it. Its malevolent aura twists the minds of the unwary, enticing them with promises of power and wealth while ensnaring their souls in its dark embrace.
"
Wooden Totem,Unlimited,"**__Wooden Totem__**

**Description:** The Wooden Totem, a rustic artifact hewn from the ancient trees of the Kokiri Forest, stands as a testament to the enduring bond between the denizens of the forest and the mystical realm they call home. Carved with intricate patterns and adorned with verdant foliage, it emanates a serene aura that echoes the wisdom of the forest itself.

**Functionality:** Crafted with reverence by the skilled hands of Kokiri artisans under the watchful gaze of the wise Deku Tree, the Wooden Totem serves as a conduit to channel the primal energies of the forest. Its purpose extends beyond mere decoration, for it holds within it the essence of the forest's vitality, offering protection and guidance to those who seek solace beneath its boughs.

**Origins:** Fashioned from the sacred wood of the Kokiri Forest, the Wooden Totem embodies the spirit of the forest and the wisdom of its guardian, the Deku Tree. Legend has it that the totem was crafted in ages past as a symbol of unity among the Kokiri, a tangible reminder of their connection to the natural world that sustains them. Infused with the magic of the forest, it has stood the test of time, a silent sentinel watching over the heart of the woodland realm.

**Uses:** As a tangible manifestation of the Kokiri's connection to the natural world, the Wooden Totem facilitates communion with the spirits of the forest. Those who approach it with reverence and humility may find themselves attuned to the whispers of the wind, the rustle of leaves, and the murmurs of the woodland creatures.
"
